Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
1999,1,1,0,30,0,1.8,4,36.21,-115.14
1999,1,1,1,30,0,1.9,4,,
1999,1,1,2,30,0,2,4,,
1999,1,1,3,30,0,1.9,3,,
1999,1,1,4,30,0,1.9,3,,
1999,1,1,5,30,0,2,3,,
1999,1,1,6,30,0,2.1,4,,
1999,1,1,7,30,41,3.1,7,,
1999,1,1,8,30,255,4.7,10,,
1999,1,1,9,30,409,5.4,12,,
1999,1,1,10,30,516,5.3,14,,
1999,1,1,11,30,563,4.9,15,,
1999,1,1,12,30,545,4.6,16,,
1999,1,1,13,30,466,4.2,17,,
1999,1,1,14,30,333,2.9,16,,
1999,1,1,15,30,163,1.6,13,,
1999,1,1,16,30,0,1.4,10,,
1999,1,1,17,30,0,1.5,8,,
1999,1,1,18,30,0,1.6,7,,
1999,1,1,19,30,0,1.6,6,,
1999,1,1,20,30,0,1.7,6,,
1999,1,1,21,30,0,1.7,5,,
1999,1,1,22,30,0,1.7,5,,
1999,1,1,23,30,0,1.7,4,,
1999,1,2,0,30,0,1.8,4,,
1999,1,2,1,30,0,1.8,3,,
1999,1,2,2,30,0,1.8,3,,
1999,1,2,3,30,0,1.9,2,,
1999,1,2,4,30,0,2,2,,
1999,1,2,5,30,0,2.1,2,,
1999,1,2,6,30,0,2.3,3,,
1999,1,2,7,30,80,3.2,6,,
1999,1,2,8,30,254,4.3,9,,
1999,1,2,9,30,405,4.6,12,,
1999,1,2,10,30,510,4.6,15,,
1999,1,2,11,30,556,4.5,16,,
1999,1,2,12,30,539,4.3,17,,
1999,1,2,13,30,462,4.1,18,,
1999,1,2,14,30,331,2.9,16,,
1999,1,2,15,30,164,1.6,13,,
1999,1,2,16,30,0,1.4,10,,
1999,1,2,17,30,0,1.6,8,,
1999,1,2,18,30,0,1.8,7,,
1999,1,2,19,30,0,2.1,6,,
1999,1,2,20,30,0,2.3,6,,
1999,1,2,21,30,0,2.4,5,,
1999,1,2,22,30,0,2.5,4,,
1999,1,2,23,30,0,2.4,4,,
1999,1,3,0,30,0,2.4,3,,
1999,1,3,1,30,0,2.4,2,,
1999,1,3,2,30,0,2.4,2,,
1999,1,3,3,30,0,2.5,2,,
1999,1,3,4,30,0,2.5,1,,
1999,1,3,5,30,0,2.7,1,,
1999,1,3,6,30,0,3.3,2,,
1999,1,3,7,30,82,4.7,5,,
1999,1,3,8,30,260,6.1,8,,
1999,1,3,9,30,416,6.7,10,,
1999,1,3,10,30,523,6.5,11,,
1999,1,3,11,30,571,6,13,,
1999,1,3,12,30,554,5.5,14,,
1999,1,3,13,30,476,4.9,14,,
1999,1,3,14,30,342,3.4,13,,
1999,1,3,15,30,171,1.8,10,,
1999,1,3,16,30,0,1.4,8,,
1999,1,3,17,30,0,1.5,7,,
1999,1,3,18,30,0,1.6,6,,
1999,1,3,19,30,0,1.6,5,,
1999,1,3,20,30,0,1.7,5,,
1999,1,3,21,30,0,1.6,4,,
1999,1,3,22,30,0,1.6,4,,
1999,1,3,23,30,0,1.7,3,,
1999,1,4,0,30,0,1.7,2,,
1999,1,4,1,30,0,1.6,2,,
1999,1,4,2,30,0,1.6,1,,
1999,1,4,3,30,0,1.7,0,,
1999,1,4,4,30,0,1.8,0,,
1999,1,4,5,30,0,1.9,0,,
1999,1,4,6,30,0,2.3,1,,
1999,1,4,7,30,81,3.6,4,,
1999,1,4,8,30,257,4.5,7,,
1999,1,4,9,30,412,4.4,10,,
1999,1,4,10,30,520,3.9,12,,
1999,1,4,11,30,568,3.4,14,,
1999,1,4,12,30,553,3,15,,
1999,1,4,13,30,475,2.6,15,,
1999,1,4,14,30,342,1.8,15,,
1999,1,4,15,30,171,1,12,,
1999,1,4,16,30,0,0.7,11,,
1999,1,4,17,30,0,0.7,10,,
1999,1,4,18,30,0,0.9,9,,
1999,1,4,19,30,0,1.2,8,,
1999,1,4,20,30,0,1.3,7,,
1999,1,4,21,30,0,1.4,7,,
1999,1,4,22,30,0,1.5,6,,
1999,1,4,23,30,0,1.6,5,,
1999,1,5,0,30,0,1.6,5,,
1999,1,5,1,30,0,1.6,4,,
1999,1,5,2,30,0,1.6,3,,
1999,1,5,3,30,0,1.6,3,,
1999,1,5,4,30,0,1.7,2,,
1999,1,5,5,30,0,1.7,2,,
1999,1,5,6,30,0,1.6,3,,
1999,1,5,7,30,30,2.1,6,,
1999,1,5,8,30,252,2.7,10,,
1999,1,5,9,30,405,3,13,,
1999,1,5,10,30,512,3.3,15,,
1999,1,5,11,30,560,3.3,16,,
1999,1,5,12,30,545,3.2,17,,
1999,1,5,13,30,468,3.1,18,,
1999,1,5,14,30,337,2.2,17,,
1999,1,5,15,30,170,1.2,14,,
1999,1,5,16,30,0,1.1,12,,
1999,1,5,17,30,0,1.3,11,,
1999,1,5,18,30,0,1.5,10,,
1999,1,5,19,30,0,1.6,9,,
1999,1,5,20,30,0,1.7,8,,
1999,1,5,21,30,0,1.8,8,,
1999,1,5,22,30,0,1.8,7,,
1999,1,5,23,30,0,1.7,7,,
1999,1,6,0,30,0,1.7,6,,
1999,1,6,1,30,0,1.7,6,,
1999,1,6,2,30,0,1.7,5,,
1999,1,6,3,30,0,1.8,5,,
1999,1,6,4,30,0,1.8,4,,
1999,1,6,5,30,0,1.9,4,,
1999,1,6,6,30,0,2.1,5,,
1999,1,6,7,30,39,3.1,8,,
1999,1,6,8,30,202,3.8,11,,
1999,1,6,9,30,265,3.4,14,,
1999,1,6,10,30,508,2.6,17,,
1999,1,6,11,30,419,1.5,19,,
1999,1,6,12,30,437,0.8,20,,
1999,1,6,13,30,286,0.8,21,,
1999,1,6,14,30,250,0.9,20,,
1999,1,6,15,30,59,0.9,17,,
1999,1,6,16,30,5,1,15,,
1999,1,6,17,30,0,1,14,,
1999,1,6,18,30,0,1,13,,
1999,1,6,19,30,0,1,12,,
1999,1,6,20,30,0,0.9,11,,
1999,1,6,21,30,0,0.8,11,,
1999,1,6,22,30,0,0.7,10,,
1999,1,6,23,30,0,0.7,10,,
1999,1,7,0,30,0,0.7,9,,
1999,1,7,1,30,0,0.9,8,,
1999,1,7,2,30,0,1.1,8,,
1999,1,7,3,30,0,1.2,7,,
1999,1,7,4,30,0,1.3,7,,
1999,1,7,5,30,0,1.3,7,,
1999,1,7,6,30,0,1.2,7,,
1999,1,7,7,30,39,1.3,9,,
1999,1,7,8,30,253,1.1,12,,
1999,1,7,9,30,408,0.7,15,,
1999,1,7,10,30,515,0.9,18,,
1999,1,7,11,30,564,1.2,19,,
1999,1,7,12,30,550,1.4,20,,
1999,1,7,13,30,473,1.4,20,,
1999,1,7,14,30,344,1.2,19,,
1999,1,7,15,30,130,1,16,,
1999,1,7,16,30,11,1.1,13,,
1999,1,7,17,30,0,1.1,12,,
1999,1,7,18,30,0,1.2,10,,
1999,1,7,19,30,0,1.3,9,,
1999,1,7,20,30,0,1.4,8,,
1999,1,7,21,30,0,1.4,7,,
1999,1,7,22,30,0,1.4,7,,
1999,1,7,23,30,0,1.7,6,,
1999,1,8,0,30,0,2.1,6,,
1999,1,8,1,30,0,2.6,5,,
1999,1,8,2,30,0,3.3,5,,
1999,1,8,3,30,0,4.1,5,,
1999,1,8,4,30,0,4.5,5,,
1999,1,8,5,30,0,4.3,4,,
1999,1,8,6,30,0,4.5,4,,
1999,1,8,7,30,80,5.5,6,,
1999,1,8,8,30,257,7,9,,
1999,1,8,9,30,414,8.3,11,,
1999,1,8,10,30,524,8.5,12,,
1999,1,8,11,30,575,8.4,12,,
1999,1,8,12,30,562,8.1,13,,
1999,1,8,13,30,486,7.8,14,,
1999,1,8,14,30,355,7.2,13,,
1999,1,8,15,30,184,5.8,11,,
1999,1,8,16,30,19,5.1,8,,
1999,1,8,17,30,0,5.4,7,,
1999,1,8,18,30,0,5.3,6,,
1999,1,8,19,30,0,4.2,5,,
1999,1,8,20,30,0,3.4,5,,
1999,1,8,21,30,0,3.1,4,,
1999,1,8,22,30,0,3,4,,
1999,1,8,23,30,0,2.7,3,,
1999,1,9,0,30,0,2.4,3,,
1999,1,9,1,30,0,2.2,3,,
1999,1,9,2,30,0,2,2,,
1999,1,9,3,30,0,1.9,2,,
1999,1,9,4,30,0,1.9,2,,
1999,1,9,5,30,0,1.9,1,,
1999,1,9,6,30,0,2,2,,
1999,1,9,7,30,79,3.2,6,,
1999,1,9,8,30,254,4.6,9,,
1999,1,9,9,30,408,4.9,12,,
1999,1,9,10,30,516,4.8,13,,
1999,1,9,11,30,565,4.5,15,,
1999,1,9,12,30,553,4.1,16,,
1999,1,9,13,30,322,3.8,16,,
1999,1,9,14,30,349,2.8,15,,
1999,1,9,15,30,182,1.6,13,,
1999,1,9,16,30,20,1.2,10,,
1999,1,9,17,30,0,1.4,9,,
1999,1,9,18,30,0,1.5,8,,
1999,1,9,19,30,0,1.6,7,,
1999,1,9,20,30,0,1.7,6,,
1999,1,9,21,30,0,1.7,6,,
1999,1,9,22,30,0,1.7,6,,
1999,1,9,23,30,0,1.7,5,,
1999,1,10,0,30,0,1.7,5,,
1999,1,10,1,30,0,1.7,4,,
1999,1,10,2,30,0,1.8,4,,
1999,1,10,3,30,0,1.9,4,,
1999,1,10,4,30,0,2,3,,
1999,1,10,5,30,0,2.2,3,,
1999,1,10,6,30,0,2.6,4,,
1999,1,10,7,30,80,3.9,8,,
1999,1,10,8,30,140,4.9,11,,
1999,1,10,9,30,288,4.9,14,,
1999,1,10,10,30,519,4.7,17,,
1999,1,10,11,30,570,4.4,18,,
1999,1,10,12,30,558,3.8,19,,
1999,1,10,13,30,483,3.1,20,,
1999,1,10,14,30,354,2,19,,
1999,1,10,15,30,187,1.1,16,,
1999,1,10,16,30,22,1.2,14,,
1999,1,10,17,30,0,1.3,13,,
1999,1,10,18,30,0,1.4,11,,
1999,1,10,19,30,0,1.5,10,,
1999,1,10,20,30,0,1.5,9,,
1999,1,10,21,30,0,1.5,8,,
1999,1,10,22,30,0,1.5,8,,
1999,1,10,23,30,0,1.6,8,,
1999,1,11,0,30,0,1.6,7,,
1999,1,11,1,30,0,1.7,6,,
1999,1,11,2,30,0,1.7,5,,
1999,1,11,3,30,0,1.7,5,,
1999,1,11,4,30,0,1.7,5,,
1999,1,11,5,30,0,1.7,5,,
1999,1,11,6,30,0,1.7,6,,
1999,1,11,7,30,51,2.2,8,,
1999,1,11,8,30,149,2.7,10,,
1999,1,11,9,30,305,2.4,12,,
1999,1,11,10,30,399,1.5,14,,
1999,1,11,11,30,463,0.7,17,,
1999,1,11,12,30,502,1,19,,
1999,1,11,13,30,387,1.5,19,,
1999,1,11,14,30,351,1.3,18,,
1999,1,11,15,30,146,1,15,,
1999,1,11,16,30,18,1.2,13,,
1999,1,11,17,30,0,1.2,13,,
1999,1,11,18,30,0,1.2,12,,
1999,1,11,19,30,0,1.2,12,,
1999,1,11,20,30,0,1.2,11,,
1999,1,11,21,30,0,1.2,11,,
1999,1,11,22,30,0,1.2,10,,
1999,1,11,23,30,0,1.2,9,,
1999,1,12,0,30,0,1.3,8,,
1999,1,12,1,30,0,1.3,7,,
1999,1,12,2,30,0,1.3,7,,
1999,1,12,3,30,0,1.3,6,,
1999,1,12,4,30,0,1.3,5,,
1999,1,12,5,30,0,1.3,4,,
1999,1,12,6,30,0,1.4,5,,
1999,1,12,7,30,81,2.4,8,,
1999,1,12,8,30,258,3.9,12,,
1999,1,12,9,30,415,5,14,,
1999,1,12,10,30,525,5.5,15,,
1999,1,12,11,30,577,5.4,16,,
1999,1,12,12,30,565,5.1,17,,
1999,1,12,13,30,491,4.7,17,,
1999,1,12,14,30,362,3.7,16,,
1999,1,12,15,30,193,2.2,13,,
1999,1,12,16,30,25,1.5,10,,
1999,1,12,17,30,0,1.6,9,,
1999,1,12,18,30,0,1.6,9,,
1999,1,12,19,30,0,1.5,8,,
1999,1,12,20,30,0,1.5,8,,
1999,1,12,21,30,0,1.5,7,,
1999,1,12,22,30,0,1.5,6,,
1999,1,12,23,30,0,1.5,6,,
1999,1,13,0,30,0,1.5,5,,
1999,1,13,1,30,0,1.5,5,,
1999,1,13,2,30,0,1.6,4,,
1999,1,13,3,30,0,1.6,4,,
1999,1,13,4,30,0,1.5,3,,
1999,1,13,5,30,0,1.5,3,,
1999,1,13,6,30,0,1.7,4,,
1999,1,13,7,30,48,2.9,7,,
1999,1,13,8,30,253,4,10,,
1999,1,13,9,30,332,4.1,13,,
1999,1,13,10,30,519,4.1,15,,
1999,1,13,11,30,570,3.9,16,,
1999,1,13,12,30,454,3.8,17,,
1999,1,13,13,30,316,4,18,,
1999,1,13,14,30,357,3.3,17,,
1999,1,13,15,30,191,1.9,14,,
1999,1,13,16,30,26,1.4,11,,
1999,1,13,17,30,0,1.7,9,,
1999,1,13,18,30,0,2.1,8,,
1999,1,13,19,30,0,2.6,8,,
1999,1,13,20,30,0,3,7,,
1999,1,13,21,30,0,3.4,6,,
1999,1,13,22,30,0,3.6,6,,
1999,1,13,23,30,0,3.2,5,,
1999,1,14,0,30,0,2.8,4,,
1999,1,14,1,30,0,3.6,4,,
1999,1,14,2,30,0,4.3,4,,
1999,1,14,3,30,0,3.8,3,,
1999,1,14,4,30,0,3.3,3,,
1999,1,14,5,30,0,3,2,,
1999,1,14,6,30,0,3.2,3,,
1999,1,14,7,30,84,4.1,6,,
1999,1,14,8,30,266,4.4,9,,
1999,1,14,9,30,427,4.4,13,,
1999,1,14,10,30,415,4.2,16,,
1999,1,14,11,30,468,3.7,17,,
1999,1,14,12,30,454,3,18,,
1999,1,14,13,30,417,2.5,19,,
1999,1,14,14,30,378,1.7,18,,
1999,1,14,15,30,205,1,15,,
1999,1,14,16,30,30,0.8,13,,
1999,1,14,17,30,0,0.4,13,,
1999,1,14,18,30,0,0.3,12,,
1999,1,14,19,30,0,0.8,11,,
1999,1,14,20,30,0,1.2,10,,
1999,1,14,21,30,0,1.4,9,,
1999,1,14,22,30,0,1.5,8,,
1999,1,14,23,30,0,1.5,8,,
1999,1,15,0,30,0,1.5,7,,
1999,1,15,1,30,0,1.5,7,,
1999,1,15,2,30,0,1.5,6,,
1999,1,15,3,30,0,1.5,6,,
1999,1,15,4,30,0,1.5,6,,
1999,1,15,5,30,0,1.4,6,,
1999,1,15,6,30,0,1.3,6,,
1999,1,15,7,30,20,1.6,8,,
1999,1,15,8,30,88,1.9,11,,
1999,1,15,9,30,315,1.4,14,,
1999,1,15,10,30,61,0.7,17,,
1999,1,15,11,30,390,0.5,18,,
1999,1,15,12,30,354,1,19,,
1999,1,15,13,30,254,1.2,18,,
1999,1,15,14,30,355,1.6,17,,
1999,1,15,15,30,193,1.7,14,,
1999,1,15,16,30,29,1.4,11,,
1999,1,15,17,30,0,1.5,9,,
1999,1,15,18,30,0,1.4,9,,
1999,1,15,19,30,0,1.3,9,,
1999,1,15,20,30,0,1.3,8,,
1999,1,15,21,30,0,1.3,8,,
1999,1,15,22,30,0,1.2,9,,
1999,1,15,23,30,0,1.1,9,,
1999,1,16,0,30,0,0.9,8,,
1999,1,16,1,30,0,0.8,8,,
1999,1,16,2,30,0,0.8,7,,
1999,1,16,3,30,0,0.9,7,,
1999,1,16,4,30,0,0.7,7,,
1999,1,16,5,30,0,0.4,7,,
1999,1,16,6,30,0,0.2,7,,
1999,1,16,7,30,32,0.3,8,,
1999,1,16,8,30,174,0.8,11,,
1999,1,16,9,30,389,1.3,14,,
1999,1,16,10,30,413,1.5,17,,
1999,1,16,11,30,574,1.3,18,,
1999,1,16,12,30,563,1.3,19,,
1999,1,16,13,30,491,1.7,19,,
1999,1,16,14,30,364,1.6,18,,
1999,1,16,15,30,199,1.1,16,,
1999,1,16,16,30,31,1.2,13,,
1999,1,16,17,30,0,1.3,11,,
1999,1,16,18,30,0,1.5,9,,
1999,1,16,19,30,0,1.7,9,,
1999,1,16,20,30,0,1.8,8,,
1999,1,16,21,30,0,1.7,7,,
1999,1,16,22,30,0,1.4,7,,
1999,1,16,23,30,0,1.2,7,,
1999,1,17,0,30,0,1,7,,
1999,1,17,1,30,0,0.9,7,,
1999,1,17,2,30,0,0.8,6,,
1999,1,17,3,30,0,0.8,6,,
1999,1,17,4,30,0,0.8,5,,
1999,1,17,5,30,0,0.9,5,,
1999,1,17,6,30,0,0.9,6,,
1999,1,17,7,30,58,0.9,8,,
1999,1,17,8,30,124,0.9,11,,
1999,1,17,9,30,284,0.9,13,,
1999,1,17,10,30,383,0.9,15,,
1999,1,17,11,30,413,1,17,,
1999,1,17,12,30,367,1.3,18,,
1999,1,17,13,30,322,1.7,18,,
1999,1,17,14,30,170,1.6,18,,
1999,1,17,15,30,107,1.2,15,,
1999,1,17,16,30,14,1.2,12,,
1999,1,17,17,30,0,1.3,12,,
1999,1,17,18,30,0,1.3,11,,
1999,1,17,19,30,0,1.3,10,,
1999,1,17,20,30,0,1.3,10,,
1999,1,17,21,30,0,1.2,9,,
1999,1,17,22,30,0,1,9,,
1999,1,17,23,30,0,0.9,8,,
1999,1,18,0,30,0,0.8,8,,
1999,1,18,1,30,0,0.8,8,,
1999,1,18,2,30,0,0.8,7,,
1999,1,18,3,30,0,0.8,7,,
1999,1,18,4,30,0,0.9,7,,
1999,1,18,5,30,0,0.9,7,,
1999,1,18,6,30,0,0.8,7,,
1999,1,18,7,30,32,1.1,9,,
1999,1,18,8,30,118,2.1,11,,
1999,1,18,9,30,348,3.3,14,,
1999,1,18,10,30,438,4,16,,
1999,1,18,11,30,469,4.4,17,,
1999,1,18,12,30,453,4.6,18,,
1999,1,18,13,30,379,4.6,19,,
1999,1,18,14,30,327,3.5,18,,
1999,1,18,15,30,149,2.3,15,,
1999,1,18,16,30,10,2.2,13,,
1999,1,18,17,30,0,2.4,11,,
1999,1,18,18,30,0,2.5,10,,
1999,1,18,19,30,0,2.4,9,,
1999,1,18,20,30,0,2.1,9,,
1999,1,18,21,30,0,1.9,8,,
1999,1,18,22,30,0,1.8,8,,
1999,1,18,23,30,0,1.6,8,,
1999,1,19,0,30,0,1.5,7,,
1999,1,19,1,30,0,1.4,7,,
1999,1,19,2,30,0,1.4,7,,
1999,1,19,3,30,0,1.4,6,,
1999,1,19,4,30,0,1.4,6,,
1999,1,19,5,30,0,1.5,6,,
1999,1,19,6,30,0,1.8,7,,
1999,1,19,7,30,78,2.7,9,,
1999,1,19,8,30,131,3.6,11,,
1999,1,19,9,30,294,4.4,13,,
1999,1,19,10,30,244,5.4,15,,
1999,1,19,11,30,287,5.9,18,,
1999,1,19,12,30,233,5.9,19,,
1999,1,19,13,30,29,5.6,19,,
1999,1,19,14,30,240,4.9,18,,
1999,1,19,15,30,171,3.3,15,,
1999,1,19,16,30,30,2.2,12,,
1999,1,19,17,30,0,2.1,10,,
1999,1,19,18,30,0,2.2,10,,
1999,1,19,19,30,0,2.2,10,,
1999,1,19,20,30,0,2.2,10,,
1999,1,19,21,30,0,2.2,9,,
1999,1,19,22,30,0,2.3,9,,
1999,1,19,23,30,0,2.5,9,,
1999,1,20,0,30,0,2.8,9,,
1999,1,20,1,30,0,2.8,9,,
1999,1,20,2,30,0,2.6,8,,
1999,1,20,3,30,0,2.5,8,,
1999,1,20,4,30,0,2.6,8,,
1999,1,20,5,30,0,2.9,8,,
1999,1,20,6,30,0,3.9,8,,
1999,1,20,7,30,78,5.8,10,,
1999,1,20,8,30,250,7.5,12,,
1999,1,20,9,30,412,8.1,14,,
1999,1,20,10,30,527,7.6,16,,
1999,1,20,11,30,581,7.1,17,,
1999,1,20,12,30,569,6.8,18,,
1999,1,20,13,30,117,6.4,18,,
1999,1,20,14,30,12,5.8,17,,
1999,1,20,15,30,39,5.1,16,,
1999,1,20,16,30,16,5.3,14,,
1999,1,20,17,30,0,6.1,13,,
1999,1,20,18,30,0,6.5,12,,
1999,1,20,19,30,0,6.8,12,,
1999,1,20,20,30,0,7.3,11,,
1999,1,20,21,30,0,7.5,11,,
1999,1,20,22,30,0,7.5,10,,
1999,1,20,23,30,0,7.5,10,,
1999,1,21,0,30,0,7.3,9,,
1999,1,21,1,30,0,6.9,9,,
1999,1,21,2,30,0,6.3,8,,
1999,1,21,3,30,0,5.7,8,,
1999,1,21,4,30,0,5.1,7,,
1999,1,21,5,30,0,4.5,6,,
1999,1,21,6,30,0,4.5,7,,
1999,1,21,7,30,92,4.9,9,,
1999,1,21,8,30,278,5.8,12,,
1999,1,21,9,30,442,6.5,14,,
1999,1,21,10,30,558,6.7,15,,
1999,1,21,11,30,615,7,15,,
1999,1,21,12,30,606,7.3,15,,
1999,1,21,13,30,532,7.2,15,,
1999,1,21,14,30,401,6.7,14,,
1999,1,21,15,30,229,4.8,11,,
1999,1,21,16,30,48,2.8,9,,
1999,1,21,17,30,0,2.1,7,,
1999,1,21,18,30,0,2,5,,
1999,1,21,19,30,0,1.9,5,,
1999,1,21,20,30,0,1.8,4,,
1999,1,21,21,30,0,1.6,3,,
1999,1,21,22,30,0,1.5,3,,
1999,1,21,23,30,0,1.5,3,,
1999,1,22,0,30,0,1.5,2,,
1999,1,22,1,30,0,1.5,2,,
1999,1,22,2,30,0,1.5,2,,
1999,1,22,3,30,0,1.6,1,,
1999,1,22,4,30,0,1.6,1,,
1999,1,22,5,30,0,1.6,1,,
1999,1,22,6,30,0,1.7,2,,
1999,1,22,7,30,67,2.5,5,,
1999,1,22,8,30,274,3.3,8,,
1999,1,22,9,30,435,3.1,11,,
1999,1,22,10,30,549,2.7,12,,
1999,1,22,11,30,606,2.1,14,,
1999,1,22,12,30,597,1.4,15,,
1999,1,22,13,30,524,0.8,15,,
1999,1,22,14,30,395,0.7,15,,
1999,1,22,15,30,225,0.9,13,,
1999,1,22,16,30,48,1.1,10,,
1999,1,22,17,30,0,1.2,8,,
1999,1,22,18,30,0,1.3,8,,
1999,1,22,19,30,0,1.2,7,,
1999,1,22,20,30,0,1.2,7,,
1999,1,22,21,30,0,1.2,6,,
1999,1,22,22,30,0,1.2,6,,
1999,1,22,23,30,0,1.2,5,,
1999,1,23,0,30,0,1.1,5,,
1999,1,23,1,30,0,1.1,5,,
1999,1,23,2,30,0,1.1,4,,
1999,1,23,3,30,0,1.1,4,,
1999,1,23,4,30,0,1.1,4,,
1999,1,23,5,30,0,1.1,4,,
1999,1,23,6,30,0,1.1,5,,
1999,1,23,7,30,91,1.7,8,,
1999,1,23,8,30,271,3.4,12,,
1999,1,23,9,30,431,5.2,15,,
1999,1,23,10,30,544,6.3,18,,
1999,1,23,11,30,598,7.1,19,,
1999,1,23,12,30,588,7.5,20,,
1999,1,23,13,30,343,7.6,19,,
1999,1,23,14,30,337,6.8,18,,
1999,1,23,15,30,171,4.9,16,,
1999,1,23,16,30,46,3.6,14,,
1999,1,23,17,30,0,3.3,12,,
1999,1,23,18,30,0,3,12,,
1999,1,23,19,30,0,2.9,12,,
1999,1,23,20,30,0,2.8,11,,
1999,1,23,21,30,0,2.6,11,,
1999,1,23,22,30,0,2.3,11,,
1999,1,23,23,30,0,2.1,10,,
1999,1,24,0,30,0,1.9,10,,
1999,1,24,1,30,0,1.7,10,,
1999,1,24,2,30,0,1.5,9,,
1999,1,24,3,30,0,1.3,9,,
1999,1,24,4,30,0,1.2,9,,
1999,1,24,5,30,0,1.1,9,,
1999,1,24,6,30,0,1,9,,
1999,1,24,7,30,42,0.9,11,,
1999,1,24,8,30,147,0.9,13,,
1999,1,24,9,30,224,1.1,14,,
1999,1,24,10,30,195,1.4,15,,
1999,1,24,11,30,294,1.9,16,,
1999,1,24,12,30,289,2.1,17,,
1999,1,24,13,30,262,1.8,17,,
1999,1,24,14,30,134,1.1,16,,
1999,1,24,15,30,89,1,13,,
1999,1,24,16,30,21,1.2,11,,
1999,1,24,17,30,0,1.5,10,,
1999,1,24,18,30,0,1.7,10,,
1999,1,24,19,30,0,1.8,9,,
1999,1,24,20,30,0,1.8,9,,
1999,1,24,21,30,0,1.7,9,,
1999,1,24,22,30,0,1.5,9,,
1999,1,24,23,30,0,1.5,8,,
1999,1,25,0,30,0,1.5,8,,
1999,1,25,1,30,0,1.6,8,,
1999,1,25,2,30,0,1.7,7,,
1999,1,25,3,30,0,1.8,7,,
1999,1,25,4,30,0,1.8,7,,
1999,1,25,5,30,0,1.5,7,,
1999,1,25,6,30,0,1.3,8,,
1999,1,25,7,30,29,1.8,10,,
1999,1,25,8,30,89,3.9,13,,
1999,1,25,9,30,266,5.9,15,,
1999,1,25,10,30,541,6.6,16,,
1999,1,25,11,30,592,6.9,17,,
1999,1,25,12,30,82,6.8,16,,
1999,1,25,13,30,71,6.1,15,,
1999,1,25,14,30,15,5.7,12,,
1999,1,25,15,30,8,6.2,10,,
1999,1,25,16,30,1,6.1,8,,
1999,1,25,17,30,0,4.9,7,,
1999,1,25,18,30,0,3.4,6,,
1999,1,25,19,30,0,2.2,5,,
1999,1,25,20,30,0,1.9,4,,
1999,1,25,21,30,0,2,4,,
1999,1,25,22,30,0,2.2,3,,
1999,1,25,23,30,0,2.8,3,,
1999,1,26,0,30,0,3.5,3,,
1999,1,26,1,30,0,4.1,3,,
1999,1,26,2,30,0,4.8,3,,
1999,1,26,3,30,0,5.3,3,,
1999,1,26,4,30,0,5.1,3,,
1999,1,26,5,30,0,4.8,2,,
1999,1,26,6,30,0,5.1,3,,
1999,1,26,7,30,94,6.3,5,,
1999,1,26,8,30,188,7.4,7,,
1999,1,26,9,30,417,7.7,8,,
1999,1,26,10,30,414,7.4,9,,
1999,1,26,11,30,474,7,9,,
1999,1,26,12,30,242,6.5,10,,
1999,1,26,13,30,37,5.9,9,,
1999,1,26,14,30,17,5.1,9,,
1999,1,26,15,30,22,3.5,8,,
1999,1,26,16,30,12,2,6,,
1999,1,26,17,30,0,1.4,5,,
1999,1,26,18,30,0,1.3,5,,
1999,1,26,19,30,0,1.3,4,,
1999,1,26,20,30,0,1.2,4,,
1999,1,26,21,30,0,1,4,,
1999,1,26,22,30,0,0.9,3,,
1999,1,26,23,30,0,0.9,3,,
1999,1,27,0,30,0,0.9,2,,
1999,1,27,1,30,0,0.9,2,,
1999,1,27,2,30,0,1,2,,
1999,1,27,3,30,0,1,1,,
1999,1,27,4,30,0,1,1,,
1999,1,27,5,30,0,1,1,,
1999,1,27,6,30,0,1.3,2,,
1999,1,27,7,30,90,1.7,4,,
1999,1,27,8,30,270,2,6,,
1999,1,27,9,30,435,2.2,7,,
1999,1,27,10,30,554,2.4,8,,
1999,1,27,11,30,614,2.5,9,,
1999,1,27,12,30,353,2.7,9,,
1999,1,27,13,30,88,3,9,,
1999,1,27,14,30,311,3.1,9,,
1999,1,27,15,30,165,2.2,7,,
1999,1,27,16,30,62,1.2,5,,
1999,1,27,17,30,0,1.2,3,,
1999,1,27,18,30,0,1.4,2,,
1999,1,27,19,30,0,1.6,2,,
1999,1,27,20,30,0,1.9,1,,
1999,1,27,21,30,0,2,1,,
1999,1,27,22,30,0,2,0,,
1999,1,27,23,30,0,2.1,0,,
1999,1,28,0,30,0,2,0,,
1999,1,28,1,30,0,2,0,,
1999,1,28,2,30,0,2.2,0,,
1999,1,28,3,30,0,2.4,0,,
1999,1,28,4,30,0,2.4,0,,
1999,1,28,5,30,0,2.4,0,,
1999,1,28,6,30,0,3.4,1,,
1999,1,28,7,30,108,5.1,3,,
1999,1,28,8,30,299,6.2,5,,
1999,1,28,9,30,467,6.3,7,,
1999,1,28,10,30,586,6,9,,
1999,1,28,11,30,645,5.6,11,,
1999,1,28,12,30,637,5.5,12,,
1999,1,28,13,30,564,5.2,13,,
1999,1,28,14,30,433,4.4,12,,
1999,1,28,15,30,258,2.7,9,,
1999,1,28,16,30,69,1.6,6,,
1999,1,28,17,30,0,1.7,4,,
1999,1,28,18,30,0,1.7,4,,
1999,1,28,19,30,0,1.7,3,,
1999,1,28,20,30,0,1.7,3,,
